camera_id,timestamp,type,value
tvlongdinh,2021-10-27T00:59:47,reading1,211.99798555956664
tvlongdinh,2021-10-27T00:59:47,reading2,281.4624999999999
tvlongdinh,2021-10-27T01:59:47,reading1,205.77095221458785
tvlongdinh,2021-10-27T01:59:47,reading2,274.9828571428571
tvlongdinh,2021-10-27T02:59:48,reading1,211.99798555956664
tvlongdinh,2021-10-27T02:59:48,reading2,282.33124999999995
tvlongdinh,2021-10-27T03:59:47,reading1,223.938760775068
tvlongdinh,2021-10-27T03:59:47,reading2,297.2126984126984
tvlongdinh,2021-10-27T04:59:47,reading1,229.9908015913946
tvlongdinh,2021-10-27T04:59:47,reading2,302.2571428571428
tvlongdinh,2021-10-27T05:59:46,reading1,229.31835261180277
tvlongdinh,2021-10-27T05:59:46,reading2,300.6685714285714
tvlongdinh,2021-10-27T06:59:45,reading1,225.95610771384352
tvlongdinh,2021-10-27T06:59:45,reading2,298.095238095238
tvlongdinh,2021-10-27T07:59:45,reading1,214.63398555956664
tvlongdinh,2021-10-27T07:59:45,reading2,285.8062499999999
tvlongdinh,2021-10-27T08:59:44,reading1,196.83166887085815
tvlongdinh,2021-10-27T08:59:44,reading2,267.55483870967737
tvlongdinh,2021-10-27T09:59:45,reading1,179.70428554792136
tvlongdinh,2021-10-27T09:59:45,reading2,240.0761904761904
tvlongdinh,2021-10-27T10:59:43,reading1,165.03709851501736
tvlongdinh,2021-10-27T10:59:43,reading2,232.37538461538452
tvlongdinh,2021-10-27T11:59:44,reading1,151.42133208940098
tvlongdinh,2021-10-27T11:59:44,reading2,218.55757575757568
tvlongdinh,2021-10-27T12:59:44,reading1,134.83292418772564
tvlongdinh,2021-10-27T12:59:44,reading2,200.58125
tvlongdinh,2021-10-27T13:59:44,reading1,124.11722478111128
tvlongdinh,2021-10-27T13:59:44,reading2,195.14098360655737
tvlongdinh,2021-10-27T14:59:43,reading1,115.24613797754596
tvlongdinh,2021-10-27T14:59:43,reading2,188.7606557377049
tvlongdinh,2021-10-27T15:59:43,reading1,121.84481098800784
tvlongdinh,2021-10-27T15:59:43,reading2,193.31803278688523
tvlongdinh,2021-10-27T16:59:44,reading1,152.90223096580547
tvlongdinh,2021-10-27T16:59:44,reading2,219.39999999999992
tvlongdinh,2021-10-27T17:59:44,reading1,-6.204803037707393
tvlongdinh,2021-10-27T17:59:44,reading2,47.60563380281712
tvlongdinh,2021-10-27T18:59:44,reading1,212.65698555956664
tvlongdinh,2021-10-27T18:59:44,reading2,282.33124999999995
tvlongdinh,2021-10-27T19:59:44,reading1,225.28365873425167
tvlongdinh,2021-10-27T19:59:44,reading2,297.2126984126984
tvlongdinh,2021-10-27T20:59:44,reading1,231.23489203732703
tvlongdinh,2021-10-27T20:59:44,reading2,303.0514285714285
tvlongdinh,2021-10-27T21:59:45,reading1,231.23489203732703
tvlongdinh,2021-10-27T21:59:45,reading2,302.2571428571428
tvlongdinh,2021-10-27T22:59:46,reading1,225.28365873425167
tvlongdinh,2021-10-27T22:59:46,reading2,298.095238095238
tvlongdinh,2021-10-27T23:59:46,reading1,221.24896485670064
tvlongdinh,2021-10-27T23:59:46,reading2,292.79999999999995
tvlongdinh,2021-10-28T00:59:45,reading1,216.6109855595666
tvlongdinh,2021-10-28T00:59:45,reading2,286.67499999999995
tvlongdinh,2021-10-28T01:59:45,reading1,212.65698555956664
tvlongdinh,2021-10-28T01:59:45,reading2,282.33124999999995
tvlongdinh,2021-10-28T02:59:44,reading1,212.65698555956664
tvlongdinh,2021-10-28T02:59:44,reading2,282.33124999999995
tvlongdinh,2021-10-28T03:59:43,reading1,213.97498555956665
tvlongdinh,2021-10-28T03:59:43,reading2,284.0687499999999
tvlongdinh,2021-10-28T04:59:43,reading1,217.92898555956663
tvlongdinh,2021-10-28T04:59:43,reading2,288.4125
tvlongdinh,2021-10-28T05:59:42,reading1,218.58798555956665
tvlongdinh,2021-10-28T05:59:42,reading2,287.54374999999993
tvlongdinh,2021-10-28T06:59:42,reading1,213.97498555956665
tvlongdinh,2021-10-28T06:59:42,reading2,284.0687499999999
tvlongdinh,2021-10-28T07:59:43,reading1,206.47955436512547
tvlongdinh,2021-10-28T07:59:43,reading2,278.1599999999999
tvlongdinh,2021-10-28T08:59:42,reading1,195.52671837580868
tvlongdinh,2021-10-28T08:59:42,reading2,269.3483870967741
tvlongdinh,2021-10-28T09:59:42,reading1,182.53869415007188
tvlongdinh,2021-10-28T09:59:42,reading2,254.19682539682532
tvlongdinh,2021-10-28T10:59:42,reading1,172.61826404254504
tvlongdinh,2021-10-28T10:59:42,reading2,240.0761904761904
tvlongdinh,2021-10-28T11:59:41,reading1,152.1617815276032
tvlongdinh,2021-10-28T11:59:41,reading2,221.11874999999992
tvlongdinh,2021-10-28T12:59:41,reading1,140.92630058901767
tvlongdinh,2021-10-28T12:59:41,reading2,208.4
tvlongdinh,2021-10-28T13:59:42,reading1,127.14710983858254
tvlongdinh,2021-10-28T13:59:42,reading2,199.6983606557377
tvlongdinh,2021-10-28T14:59:41,reading1,118.14284127424928
tvlongdinh,2021-10-28T14:59:41,reading2,190.58360655737704
tvlongdinh,2021-10-28T15:59:41,reading1,113.07361050501848
tvlongdinh,2021-10-28T15:59:41,reading2,191.4950819672131
tvlongdinh,2021-10-28T16:59:41,reading1,127.14710983858254
tvlongdinh,2021-10-28T16:59:41,reading2,197.8754098360656
tvlongdinh,2021-10-28T17:33:41,reading1,142.31366901007033
tvlongdinh,2021-10-28T17:33:41,reading2,209.26874999999995
